Service Code,Desc.,Price as of 01/08/2024,Price as of 01/08/2025 and onward,Gross/Net,Discount % Yes/No,MCA Category Code,Service Category Description,Nphies Code,Nphies Description
7121499,PR,945,990.0000000000001,Gross,yes,31.0,Portal Laboratory,73050-32-10,Progesterone (reproductive Hormone) receptor analysis
7121500,PRA (PANEL REACTIVE ANTIBODY),1890,1980.0000000000002,Gross,yes,31.0,Portal Laboratory,73100-28-10,Serum screening for cytotoxic percent reactive antibody (PRA); quick method
7121501,PREGNANDIOL,446.25,467.50000000000006,Gross,yes,31.0,Portal Laboratory,73050-29-30,Measurement of (Quantitative) pregnanediol
7121502,PRENATAL SCREENING FOR HIGH RISK PREGNANCY/CRYPTOGENETIC TEST,8505,8910,Gross,yes,31.0,Portal Laboratory,73000-00-50,"Obstetric Panel [blood count, complete (CBC), automated and automated differential WBC count or blood count, complete (CBC), automated and appropriate manual differential WBC count, hepatitis b surface antigen (HBsAg), antibody, rubella, syphilis test, non-treponemal antibody; Qualitative (eg, VDRL, RPR, ART) antibody screen, RBC, each serum technique, blood typing, ABO and blood typing, rh (D)]"
7121503,PRESEPSIN,367.5,385.00000000000006,Gross,yes,31.0,Portal Laboratory,73050-40-00,Culture & sensitivity blood
7121504,PRICKLE CELL DESMOSMES ABS,241.5,253.00000000000003,Gross,yes,31.0,Portal Laboratory,73200-08-80,Antibody identification using immunofluorescence stain
7121505,PRO INSULIN INTACT,336,352,Gross,yes,31.0,Portal Laboratory,73050-31-50,Measurement of (Quantitative) proinsulin
7121506,PROGESTERONE,210,220.00000000000003,Gross,yes,31.0,Portal Laboratory,73050-29-70,"Measurement of Progesterone, serum"
7121508,PROLACTIN,603.75,632.5,Gross,yes,31.0,Portal Laboratory,73000-02-10,"Combined rapid anterior pituitary evaluation Panel, includes adrenocorticotropic Hormone  x 4, luteinizing Hormone  x 4, follicle stimulating Hormone  x 4, prolactin x 4, human growth Hormone  x 4, cortisol  x 4 and thyroid stimulating Hormone  x 4"
7121510,PROSTATIC ACID PHOSPHATASE,472.5,495.00000000000006,Gross,yes,31.0,Portal Laboratory,73000-00-40,"Comprehensive metabolic Panel [ albumin, bilirubin, total, calcium total, carbon dioxide (bicarbonate), chloride, creatinine, glucose, phosphatase, alkaline, potassium, Protein total, sodium transferase, alanine amino (ALT) (SGPT), transferase, aspartate amino (AST) (SGOT), Urea nitrogen (BUN) ]"
7121511,PROTEIN A AND LEUCOCYTE,514.5,539,Gross,yes,31.0,Portal Laboratory,73050-30-40,Measurement of Protein total
7121512,PROTEIN C (ANTIGEN & ACTIVITY),1349.25,1413.5000000000002,Gross,yes,31.0,Portal Laboratory,73050-30-40,Measurement of Protein total
7121513,PROTEIN C ACTIVITY,682.5,715.0000000000001,Gross,yes,31.0,Portal Laboratory,73050-30-40,Measurement of Protein total
7121514,PROTEIN S (TOTAL FREE & ACTIVITY),2100,2200,Gross,yes,31.0,Portal Laboratory,73100-04-30,Protein s (clotting inhibitor) level
7121515,PROTEIN S ACTIVITY,682.5,715.0000000000001,Gross,yes,31.0,Portal Laboratory,73100-04-30,Protein s (clotting inhibitor) level
7121516,PROTEIN TOTAL,157.5,165,Gross,yes,31.0,Portal Laboratory,73100-04-30,Protein s (clotting inhibitor) level
7121517,PROTHROMBIN MUTATION ,966,1012.0000000000001,Gross,yes,31.0,Portal Laboratory,73100-08-60,"Prothrombin time; substitution, plasma fractions, each"
7121518,PSAP (PROSTATIC ACID PHOSPHATASE),603.75,632.5,Gross,yes,31.0,Portal Laboratory,73050-27-50,"Measurement of (Quantitative) phosphatase, Acid, prostatic"
7121519,PSEUDOCHOLINESTERASE,126,132,Gross,yes,31.0,Portal Laboratory,73050-39-70,Chemistry tests unlisted
7121520,PTEN,840,880.0000000000001,Gross,yes,31.0,Portal Laboratory,73350-05-80,"Hereditary breast cancer-related disorders  genomic sequence analysis Panel of at least 10 genes including BRCA1, BRCA2, CDH1, MLH1, MSH2, MSH6, PALB2, PTEN, STK11, and TP53 (eg, hereditary breast cancer, hereditary ovarian cancer, hereditary endometrial cancer)"
7121521,PTEN (BREAST CANCER),1155,1210,Gross,yes,31.0,Portal Laboratory,73350-05-80,"Hereditary breast cancer-related disorders  genomic sequence analysis Panel of at least 10 genes including BRCA1, BRCA2, CDH1, MLH1, MSH2, MSH6, PALB2, PTEN, STK11, and TP53 (eg, hereditary breast cancer, hereditary ovarian cancer, hereditary endometrial cancer)"
7121522,PTH INTACT,645.75,676.5,Gross,yes,31.0,Portal Laboratory,73050-26-70,Measurement of Parathyroid Hormone (PTH)
7121523,PYRILINKS D,446.25,467.50000000000006,Gross,yes,31.0,Portal Laboratory,73050-39-70,Chemistry tests unlisted
7121524,PYRUVATE KINASE,136.5,143,Gross,yes,31.0,Portal Laboratory,73050-31-80,Measurement of (Quantitative) pyruvate kinase
7121525,Q FEVER (COXIELLA BURNETTI IGG & IGM ABS),703.5,737.0000000000001,Gross,yes,31.0,Portal Laboratory,73100-09-90,"Measurement of antibody to infectious organism.(eg.brucella,francisellaa q fever,rocky mountain spotted fever  )each antigen"
7121526,QUALITATIVE MOLECULAR BLR/ABL DIAGNOSTICS,3654,3828.0000000000005,Gross,yes,31.0,Portal Laboratory,73350-00-00,Fusion gene Profile (BCR/ABL)
7121527,QUANTIFERON (TB GOLD),1134,1188,Gross,yes,31.0,Portal Laboratory,73100-17-90,Quantiferon (interferon gamma production tb gol
7121528,QUANTIFERON TBGOLD PLUS,1711.5,1793.0000000000002,Gross,yes,31.0,Portal Laboratory,73100-17-90,Quantiferon (interferon gamma production tb gol
7121529,QUANTITATIVE MOLECULAR BCR/ABL DIAGONOSTICS,7308,7656.000000000001,Gross,yes,31.0,Portal Laboratory,73350-00-00,Fusion gene Profile (BCR/ABL)
7121530,RAST,446.25,467.50000000000006,Gross,yes,31.0,Portal Laboratory,73100-10-30,"Allergen specific IgE; Quantitative or semiQuantitative, recombinant or purified component, each"
7121531,RCC,603.75,632.5,Gross,yes,31.0,Portal Laboratory,73150-00-30,Urinalysis dipstick w/ scopy
7121532,RENAL (KIDNEY) FUNCTION TESTS (BUN  CR  NA  K  CL & URIC ACID),420,440.00000000000006,Gross,yes,31.0,Portal Laboratory,12524-00-00,Renal function nuclear medicine test
7121533,RENAL TUBULAR DYSGENESIS (AGT) SINGLE GENE ANALYSIS,3412.5,3575.0000000000005,Gross,yes,31.0,Portal Laboratory,73050-39-70,Chemistry tests unlisted
7121534,RENIN .,477.75,500.50000000000006,Gross,yes,31.0,Portal Laboratory,73050-32-40,Measurement of renin activity
7121535,RESPIRATORY SYNCTIAL VIRUS ABS.,446.25,467.50000000000006,Gross,yes,31.0,Portal Laboratory,73050-46-90,Detection of antigen by immunofluorecent technique ; respiratory syncytial virus
7121536,RETT SYNDROME (MECP2-GENE) TEST,15592.5,16335.000000000002,Gross,yes,31.0,Portal Laboratory,73350-05-00,"Molecular pathology procedure, Level 7 -analyzing neuclic Acid level to check abnormalities that may be indicative of a variety of disorders which  includes Cell lysis, nucleic Acid stabilization, extraction, digestion, amplification in which level 7 is an analysis of 11-25 exons by DNA sequence analysis, mutation scanning or duplication/deletion variants of 26-50 exons, cytogenomic array analysis for neoplasia eg, focal segmental glomerulosclerosis"
7121537,RHINOVIRUS RNA,1942.5,2035.0000000000002,Gross,yes,31.0,Portal Laboratory,73100-10-00,Quantitative allergen specific immunoglobulin g test
7121538,RIBOSOMAL ABS,593.25,621.5,Gross,yes,31.0,Portal Laboratory,73050-39-70,Chemistry tests unlisted
7121539,RICKETTSIA ABS,756,792.0000000000001,Gross,yes,31.0,Portal Laboratory,73100-25-70,Detection of antibody; Rickettsia
7121540,RIVOTRIL,367.5,385.00000000000006,Gross,yes,31.0,Portal Laboratory,73300-06-70,Drug Quantitative/Qualitative or both screening (Benzodiazepines; 1-12)
7121541,RNP / SM,273,286,Gross,yes,31.0,Portal Laboratory,73100-10-70,Measurement of antinuclear antibodies  (ANA)
7121542,RO,619.5,649,Gross,yes,31.0,Portal Laboratory,73100-10-70,Measurement of antinuclear antibodies  (ANA)
7121543,RUBELLA  IGG SPECIFIC,446.25,467.50000000000006,Gross,yes,31.0,Portal Laboratory,92155-00-00,Vaccination against rubella
7121544,RUBELLA  IGM SPECIFIC,446.25,467.50000000000006,Gross,yes,31.0,Portal Laboratory,92155-00-00,Vaccination against rubella
7121545,SACCAROMYCES IGA  IGG  IGM ABS STRUCTURE,367.5,385.00000000000006,Gross,yes,31.0,Portal Laboratory,73100-10-60,Antibody identification; platelet associated immunoglobulin Assay
7121546,SALMONEILA ABS,430.5,451.00000000000006,Gross,yes,31.0,Portal Laboratory,73050-53-10,"Detection of infectious agent by nucleic Acid; gi pathogen(c.diffe,e.coli,salmonella, shigella,giardia) include multiplex reverse transcription and multiplex amplified probe tq, multiple type or subtype"
7121547,SCHAWACHMAN DIAMOND SYNDROME,23940,25080.000000000004,Gross,yes,31.0,Portal Laboratory,73200-05-60,Molecular cytogenetics using interphase ; in situ hybridization for 25-99 cells
7121548,SCHISTOSOMA ANTIBODY,446.25,467.50000000000006,Gross,yes,31.0,Portal Laboratory,73050-50-20,"Infectious agent antigen detection of not otherwise specified, each organism  multiple-step method (ImmunoAssay technique)"
7121549,SCL 70 ABS,367.5,385.00000000000006,Gross,yes,31.0,Portal Laboratory,73100-10-70,Measurement of antinuclear antibodies  (ANA)
7121550,SECRETOR IGA (SALIVA),357,374.00000000000006,Gross,yes,31.0,Portal Laboratory,73100-10-60,Antibody identification; platelet associated immunoglobulin Assay
7121551,SELENIUM,430.5,451.00000000000006,Gross,yes,31.0,Portal Laboratory,73050-32-60,Selenium plasma or urine level
7121552,SEMEN ANALYSIS,126,132,Gross,yes,31.0,Portal Laboratory,73400-03-30,"Semen analysis; presence&/motility of sperm , huhner test"
7121553,SEROTONIN,273,286,Gross,yes,31.0,Portal Laboratory,73050-32-70,Measurement of (Quantitative) serotonin
7121554,SERUM B-CROSSLAPS (CTX),630,660,Gross,yes,31.0,Portal Laboratory,73050-40-00,Culture & sensitivity blood
7121555,SGOT (AST),78.75,82.5,Gross,yes,31.0,Portal Laboratory,73050-35-90,Measurement of aspartate amino transferase (AST) (SGOT)
7121556,SGPT (ALT),78.75,82.5,Gross,yes,31.0,Portal Laboratory,73050-36-00,Measurement of alanine amino transferase (ALT) (SGPT)
7121557,SHBG (SEX HORMONE BINDING GLOBULIN),451.5,473.00000000000006,Gross,yes,31.0,Portal Laboratory,73050-32-80,Measurement of (Quantitative) sex Hormone binding globulin (SHBG)
7121558,SHIGELLA ABS,420,440.00000000000006,Gross,yes,31.0,Portal Laboratory,73100-26-30,Detection of antibody; Shigella
7121559,SIROLIMUS,619.5,649,Gross,yes,31.0,Portal Laboratory,73300-02-80,Drug Quantitative screening (rapamycin)
7121560,SMOOTH MUSCLE ANTIBODY,446.25,467.50000000000006,Gross,yes,31.0,Portal Laboratory,73100-13-30,Anti-smooth muscle antibody and anti-actin send out unilab
7121561,SODIUM URINE,68.25,71.5,Gross,yes,31.0,Portal Laboratory,73300-00-80,Drug Profile screening (Sodium valproate)
7121562,SODIUM  SERUM OR URINE,78.75,82.5,Gross,yes,31.0,Portal Laboratory,73300-00-80,Drug Profile screening (Sodium valproate)
7121563,SODIUM  STOOL,136.5,143,Gross,yes,31.0,Portal Laboratory,73050-26-10,Measurement of Osmolality (serum)
7121564,SOLUBLE LIVER ANTIGEN ABS,315,330,Gross,yes,31.0,Portal Laboratory,73250-00-20,"Antibody screen, (Identification and titter)"
7121565,SPERM VITALITY,210,220.00000000000003,Gross,yes,31.0,Portal Laboratory,73400-03-90,Sperm evaluation; hamster penetration test
7121566,SPERMATOZOAL ANTIBODIES,525,550,Gross,yes,31.0,Portal Laboratory,73400-03-80,Sperm antibody measurement
7121567,SPINAL MUSCULAR ATROPHY (SMN1 MLPA),5040,5280,Gross,yes,31.0,Portal Laboratory,73200-05-60,Molecular cytogenetics using interphase ; in situ hybridization for 25-99 cells
7121568,SSA AND SSB ABS (ANTI RO / ANTI LA),750.75,786.5000000000001,Gross,yes,31.0,Portal Laboratory,73100-10-70,Measurement of antinuclear antibodies  (ANA)
7121569,STONE ANALYSIS,210,220.00000000000003,Gross,yes,31.0,Portal Laboratory,73000-00-70,"Renal function Profile (Albumin, Ca, Co2, Cl, Cr, Glu, Phosphate, K, Na, BUN)"
7121570,STRIATED MUSCLE ANTIBODY,446.25,467.50000000000006,Gross,yes,31.0,Portal Laboratory,73100-13-30,Anti-smooth muscle antibody and anti-actin send out unilab
7121571,SULFONYLUREA STRUCTURE,1207.5,1265,Gross,yes,31.0,Portal Laboratory,73050-39-20,Measurement of C-peptide
7121572,SV40,840,880.0000000000001,Gross,yes,31.0,Portal Laboratory,73200-08-40,"Immunocytochemistry  or immunohistochemistry, per specimen; initial single antibody stain procedure"
7121573,SYNOVIAL FLUID EXAMINATION,141.75,148.5,Gross,yes,31.0,Portal Laboratory,73400-00-90,"Identification crystal  by light microscopy with or without polarizing lens analysis, tissue or any body fluid"
7121574,T + B LYMPHOCYTE DIFFERENTIATION,1470,1540.0000000000002,Gross,yes,31.0,Portal Laboratory,73100-16-80,"T- lymphocyte cell total count, Quantitative ,not otherwise specified, each antigen"
7121575,T B G,262.5,275,Gross,yes,31.0,Portal Laboratory,73050-35-40,Thyroxine binding globulin (thyroid related Protein) level
7121576,T.B MONOCLONAL ANTIBODIES,446.25,467.50000000000006,Gross,yes,31.0,Portal Laboratory,73100-18-00,"Cell mediated immunity antigen response measurement, Tuberculosis test ; enumeration of gamma interferon-producing T-cells in cell suspension"
7121577,T4 AND T8 LIMPHOCYTES,525,550,Gross,yes,31.0,Portal Laboratory,73050-35-30,Measurement of free thyroxine
7121578,TACROLIMUS,561.75,588.5,Gross,yes,31.0,Portal Laboratory,73300-02-90,Drug Profile screening (Tacrolimus)
7121579,TAENIA ABS,509.25,533.5,Gross,yes,31.0,Portal Laboratory,73100-10-60,Antibody identification; platelet associated immunoglobulin Assay
7121580,TAG-72,603.75,632.5,Gross,yes,31.0,Portal Laboratory,73100-10-60,Antibody identification; platelet associated immunoglobulin Assay
7121581,TAU-PROTEIN,866.25,907.5000000000001,Gross,yes,31.0,Portal Laboratory,73050-31-20,Western blot Protein immunological probe for band identification on blood with interpretation and report
7121582,TB PCR,1842.75,1930.5000000000002,Gross,yes,31.0,Portal Laboratory,73100-17-90,Quantiferon (interferon gamma production tb gol
7121583,TDT,603.75,632.5,Gross,yes,31.0,Portal Laboratory,73050-39-70,Chemistry tests unlisted
7121584,TESTOSTERONE,525,550,Gross,yes,31.0,Portal Laboratory,73050-34-40,Measurement of free testosterone
7121585,THEOPHYLLIN LEVEL,210,220.00000000000003,Gross,yes,31.0,Portal Laboratory,73300-03-00,"Drug Quantitative screening (1,3-dimethylxanthine)"
7121586,THIAMINE-RESPONSIVE MEGALOBLASTIC ANEMIA SYNDROME(SLC19A2  REF),10017,10494,Gross,yes,31.0,Portal Laboratory,73200-05-60,Molecular cytogenetics using interphase ; in situ hybridization for 25-99 cells
7121587,THIOCYANATE & CYANIDE,325.5,341,Gross,yes,31.0,Portal Laboratory,73050-34-80,Measurement of (Quantitative) thiocyanate
7121588,THYREOGLOBULIN,451.5,473.00000000000006,Gross,yes,31.0,Portal Laboratory,73050-35-00,Measurement of thyroglobulin
7121589,THYROGLOBULIN ANTIBODY,446.25,467.50000000000006,Gross,yes,31.0,Portal Laboratory,73050-35-00,Measurement of thyroglobulin
8011018,THYROID ORBITAL DECOMPRESSION (BOTH EYES),25982.25,27219.500000000004,Gross,yes,88.0,Portal Package Deals,42545-01-02,"Orbitotomy for decompression of orbit by removal of intraorbital (peribulbar) (retrobulbar) fat, bilateral"
8011019,THYROID ORBITAL DECOMPRESSION (ONE EYE),16437.75,17220.5,Gross,yes,88.0,Portal Package Deals,42545-01-01,"Orbitotomy for decompression of orbit by removal of intraorbital (peribulbar) (retrobulbar) fat, unilateral"
2014025,PARATHYROIDECTOMY / PARTIAL,13998.6,14665.2,Gross,yes,88.0,Portal Package Deals,30315-00-00,Subtotal parathyroidectomy
7121593,THYROXINE BINDING GLOBULIN,231,242.00000000000003,Gross,yes,31.0,Portal Laboratory,73050-35-40,Thyroxine binding globulin (thyroid related Protein) level
7121594,TORCH SCREENING,735,770.0000000000001,Gross,yes,31.0,Portal Laboratory,73100-13-60,Viral antibodies-igm (torch igm)
7121595,TOTAL AND DIRECT BILIBURIN,126,132,Gross,yes,31.0,Portal Laboratory,73400-00-00,Transcutaneous bilirubin total
7121596,TOTAL BILIBURIN  NEONATAL,63,66,Gross,yes,31.0,Portal Laboratory,73400-00-00,Transcutaneous bilirubin total
7121597,TOTAL BILIRUBIN,78.75,82.5,Gross,yes,31.0,Portal Laboratory,73400-00-00,Transcutaneous bilirubin total
7121598,TOTAL CHOLESTEROL,105,110.00000000000001,Gross,yes,31.0,Portal Laboratory,73050-08-10,Measurement of Chol Profile; serum total
7121599,TOTAL CO2,68.25,71.5,Gross,yes,31.0,Portal Laboratory,73050-06-40,Measurement of Carbon dioxide bicarbonate Assay
7121600,TOTAL HLA TYPING,2782.5,2915.0000000000005,Gross,yes,31.0,Portal Laboratory,73100-28-30,HLA typing a/b/c multiple antigens
7121601,TOTAL IRON BINDING CAPACITY (TIBC),178.5,187.00000000000003,Gross,yes,31.0,Portal Laboratory,73050-21-20,Measurement of TIBC (total iron binding capacity)
7121602,TOTAL PROTEIN  SERUM,78.75,82.5,Gross,yes,31.0,Portal Laboratory,73050-21-20,Measurement of TIBC (total iron binding capacity)
7121603,TOXOCARA ABS CANIS IGG & IGM WESTERNBLOT,966,1012.0000000000001,Gross,yes,31.0,Portal Laboratory,73050-31-10,"Measurement of (Quantitative) Protein; western blot, with interpretation and report, blood or other body fluid"
7121604,TOXOPLASMOSIS  IGG SPECIFIC,446.25,467.50000000000006,Gross,yes,31.0,Portal Laboratory,73100-26-50,"Toxoplasma antibody, igg only, serum"
7121605,TOXOPLASMOSIS  IGM SPECIFIC,446.25,467.50000000000006,Gross,yes,31.0,Portal Laboratory,73100-26-60,"Toxoplasma antibody igm, serum"
7121606,TPMT ACTIVITY,315,330,Gross,yes,31.0,Portal Laboratory,73000-00-20,"General Health Panel [CMP & (automated cbc, automated  differential wbc or  automated cbc & appropriate manual differential wbc) ,TSH]"
7121607,TRACP,603.75,632.5,Gross,yes,31.0,Portal Laboratory,73050-40-00,Culture & sensitivity blood
7121608,TRANFERRITIN  SERUM,446.25,467.50000000000006,Gross,yes,31.0,Portal Laboratory,73050-36-10,Serum Transferrin/Siderophilin (iron binding Protein) level
7121609,TRANSFERRIN,330.75,346.5,Gross,yes,31.0,Portal Laboratory,73050-36-10,Serum Transferrin/Siderophilin (iron binding Protein) level
7121610,TREPONEMAL IGG AND IGG ABS IMMUNOBLOT,1512,1584.0000000000002,Gross,yes,31.0,Portal Laboratory,73100-26-70,Treponema pallidum hemagglutinationtpha
7121611,TREPONEMAL PALLIDUM ANTIBODIES,399,418.00000000000006,Gross,yes,31.0,Portal Laboratory,73050-47-20,Infectious agent antigen detection  of Treponema pallidum (immunoflourescent technique)
7121612,TRIGLYCERIDES,210,220.00000000000003,Gross,yes,31.0,Portal Laboratory,73050-36-20,Measurement of triglycerides
7121613,TRIPLE TEST,619.5,649,Gross,yes,31.0,Portal Laboratory,73350-06-70,"Fetal congenital abnor Assay 3 Proteins (PAPP-A, hCG [any form], DIA) using maternal serum( algorithm reported as a risk score)"
7121614,TROP T.,210,220.00000000000003,Gross,yes,31.0,Portal Laboratory,73050-36-70,Quantitative Measurement of muscles Tissues troponin
7121615,TRYPSIN,446.25,467.50000000000006,Gross,yes,31.0,Portal Laboratory,73050-36-90,"Trypsin; feces, Qualitative"
7121617,TRYPTASE,603.75,632.5,Gross,yes,31.0,Portal Laboratory,73050-11-60,"Measurement of (Quantitative) enzyme activity in blood,cultured cells or tissue,radioactive substrate each specimen"
7121618,TSC 1 GENE,27037.5,28325.000000000004,Gross,yes,31.0,Portal Laboratory,96035-00-00,Genetic assessment
7121619,TSC 2 GENE,27037.5,28325.000000000004,Gross,yes,31.0,Portal Laboratory,96035-00-00,Genetic assessment
7121620,TSH,603.75,632.5,Gross,yes,31.0,Portal Laboratory,73050-35-50,"Blood test, thyroid stimulating Hormone (TSH)"
7121622,TSH RECEPTOR ANTIBODY    ,614.25,643.5,Gross,yes,31.0,Portal Laboratory,73050-35-50,"Blood test, thyroid stimulating Hormone (TSH)"
7121623,TSH-NEONATAL,210,220.00000000000003,Gross,yes,31.0,Portal Laboratory,73050-35-50,"Blood test, thyroid stimulating Hormone (TSH)"
7121624,U1-NRNP,315,330,Gross,yes,31.0,Portal Laboratory,73100-10-70,Measurement of antinuclear antibodies  (ANA)
